aX,aY,aZ,gX,gY,gZ
1.156,0.915,0.817,2.869,52.795,3.845
1.084,0.870,0.780,0.671,46.692,-20.447
0.954,0.763,0.744,3.845,36.377,-43.823
0.774,0.632,0.708,10.925,24.597,-62.805
0.585,0.490,0.654,16.296,14.648,-76.172
0.417,0.357,0.617,17.395,7.507,-83.801
0.273,0.230,0.599,13.733,2.869,-87.341
0.150,0.125,0.616,8.057,-0.854,-88.257
0.040,0.027,0.639,1.587,-4.761,-85.571
-0.024,-0.051,0.665,-4.822,-8.606,-79.346
-0.075,-0.083,0.705,-12.024,-13.306,-70.435
-0.120,-0.071,0.748,-18.066,-16.052,-59.937
-0.139,-0.049,0.787,-20.325,-16.785,-49.744
-0.159,-0.018,0.817,-20.020,-16.968,-41.260
-0.171,-0.007,0.844,-19.104,-16.357,-35.522
-0.166,-0.004,0.863,-20.508,-13.794,-32.288
-0.158,0.003,0.880,-24.414,-8.728,-30.823
-0.137,0.009,0.880,-28.564,-2.441,-30.334
-0.108,0.016,0.881,-32.837,3.357,-29.419
-0.076,0.020,0.875,-35.400,9.338,-28.198
-0.067,0.026,0.869,-35.461,13.794,-26.611
-0.073,0.023,0.860,-33.020,15.320,-23.865
-0.078,0.010,0.850,-28.931,14.282,-19.287
-0.072,-0.001,0.841,-25.452,12.268,-12.878
-0.050,0.000,0.840,-23.315,10.071,-5.920
-0.023,0.005,0.836,-21.667,8.362,0.793
0.008,0.024,0.818,-20.020,7.385,6.226
0.035,0.059,0.798,-19.592,6.470,9.216
0.055,0.098,0.794,-20.813,5.371,10.071
0.066,0.124,0.809,-21.973,4.272,8.667
0.061,0.136,0.831,-20.996,3.174,6.409
0.050,0.137,0.854,-18.127,2.014,4.944
0.042,0.123,0.877,-13.977,0.732,5.371
0.047,0.109,0.896,-9.766,-0.244,7.507
0.053,0.102,0.913,-6.042,-0.977,10.132
0.061,0.116,0.933,-2.930,-2.014,13.367
0.067,0.132,0.946,0.183,-3.235,16.846
0.069,0.145,0.958,3.418,-5.493,19.226
