aX,aY,aZ,gX,gY,gZ
-0.879,0.149,0.480,-496.582,123.413,-38.025
-0.782,0.025,0.416,-535.217,81.055,-80.139
-0.712,-0.091,0.302,-549.500,41.931,-117.188
-0.634,-0.188,0.154,-541.016,5.920,-151.428
-0.595,-0.275,0.008,-512.512,-27.832,-179.565
-0.514,-0.290,-0.121,-471.863,-66.223,-202.209
-0.446,-0.300,-0.140,-427.368,-106.750,-214.600
-0.429,-0.303,-0.147,-385.010,-143.738,-220.154
-0.431,-0.320,-0.121,-336.670,-171.753,-223.816
-0.443,-0.375,-0.104,-280.273,-186.218,-226.074
-0.451,-0.452,-0.088,-220.154,-190.735,-228.882
-0.474,-0.554,-0.101,-156.311,-195.312,-231.140
-0.506,-0.626,-0.104,-93.567,-204.529,-230.774
-0.517,-0.721,-0.049,-37.476,-214.844,-223.755
-0.510,-0.775,-0.008,6.897,-234.802,-211.426
-0.461,-0.851,0.085,38.757,-260.193,-194.153
-0.431,-0.924,0.212,58.960,-285.706,-170.288
-0.311,-0.995,0.359,71.533,-307.312,-141.052
-0.209,-1.057,0.543,93.140,-328.857,-111.023
-0.163,-1.142,0.624,126.099,-341.675,-85.449
-0.093,-1.183,0.664,160.461,-334.045,-65.125
-0.071,-1.219,0.691,191.284,-311.401,-37.292
-0.118,-1.264,0.737,213.684,-281.250,-0.610
-0.182,-1.274,0.822,226.013,-253.845,40.039
-0.263,-1.224,0.947,230.286,-242.004,81.299
-0.370,-1.181,1.035,234.924,-256.775,118.408
-0.508,-1.135,1.083,240.173,-285.400,151.245
-0.629,-1.111,1.171,239.685,-299.438,183.228
-0.697,-1.172,1.326,236.572,-293.823,213.623
-0.751,-1.215,1.483,233.643,-275.879,238.892
-0.778,-1.305,1.614,233.887,-252.869,259.766
-0.768,-1.407,1.814,233.704,-227.478,279.907
-0.766,-1.502,1.997,229.675,-206.665,300.293
-0.802,-1.557,2.264,216.919,-184.448,319.153
-0.849,-1.504,2.412,191.772,-149.292,334.656
-0.911,-1.399,2.561,162.109,-102.417,342.834
-0.925,-1.286,2.717,125.854,-44.556,344.604
-0.916,-1.188,2.856,84.839,14.282,346.375
-0.891,-1.097,2.964,41.870,67.017,348.145
-0.830,-1.035,3.025,-3.113,115.601,347.717
-0.797,-1.013,3.035,-51.575,167.419,343.689
-0.841,-0.957,2.928,-101.868,219.482,329.712
-0.889,-0.812,2.684,-146.484,260.559,304.016
-1.000,-0.649,2.416,-184.570,292.847,276.611
-1.131,-0.522,2.091,-222.046,316.833,250.610
-1.207,-0.383,1.772,-263.672,326.477,220.642
-1.155,-0.213,1.428,-309.509,316.406,187.561
-1.037,-0.047,1.176,-357.117,288.879,153.259
-0.928,0.042,1.018,-400.391,256.409,121.094
-0.842,0.098,0.884,-437.561,223.938,88.501
-0.807,0.138,0.750,-467.529,192.200,53.528
-0.831,0.136,0.633,-486.023,162.781,12.512
-0.851,0.095,0.534,-494.446,134.033,-36.865
-0.822,0.034,0.357,-491.211,104.553,-92.407
-0.745,-0.055,0.101,-480.713,79.895,-143.494
-0.640,-0.217,-0.106,-465.027,51.514,-180.969
-0.584,-0.445,-0.230,-440.613,10.803,-200.256
-0.549,-0.562,-0.265,-411.438,-45.776,-207.947
-0.521,-0.609,-0.247,-384.094,-108.948,-213.257
-0.540,-0.610,-0.242,-359.009,-166.138,-219.055
-0.515,-0.625,-0.230,-331.421,-211.060,-225.403
-0.522,-0.628,-0.248,-297.180,-241.760,-230.652
-0.528,-0.679,-0.248,-252.502,-260.803,-232.483
-0.505,-0.795,-0.225,-195.007,-271.729,-230.347
-0.475,-0.931,-0.198,-126.770,-278.320,-224.976
-0.397,-1.046,-0.078,-55.786,-281.799,-215.759
-0.343,-1.163,-0.002,2.869,-290.649,-200.806
-0.273,-1.306,0.147,47.058,-309.631,-174.316
-0.175,-1.421,0.315,78.552,-345.642,-135.620
-0.091,-1.489,0.546,105.164,-391.235,-83.679
-0.092,-1.544,0.752,140.564,-427.429,-26.855
-0.145,-1.587,0.915,185.791,-430.542,21.118
-0.198,-1.575,1.073,231.689,-399.597,62.866
-0.276,-1.519,1.239,269.470,-351.807,105.042
-0.390,-1.445,1.407,293.762,-307.495,150.696
-0.516,-1.352,1.585,306.030,-290.344,196.960
-0.750,-1.255,1.624,310.059,-308.838,238.525
-0.907,-1.205,1.713,303.223,-325.806,275.269
-1.019,-1.192,1.834,289.062,-319.031,307.251
-1.108,-1.233,2.000,278.381,-292.725,330.627
-1.154,-1.283,2.135,276.611,-249.939,341.736
-1.149,-1.345,2.218,278.320,-195.496,343.445
-1.102,-1.359,2.343,272.583,-143.005,340.393
-1.072,-1.352,2.344,249.512,-104.553,342.224
-1.038,-1.377,2.413,213.501,-78.735,353.027
-0.998,-1.345,2.496,167.053,-57.617,367.249
-1.002,-1.244,2.538,119.141,-38.757,375.671
-0.922,-1.150,2.605,78.308,-5.859,380.859

-0.819,-0.990,2.591,0.977,85.754,378.784
-0.729,-0.937,2.525,-40.527,138.794,374.451
-0.658,-0.891,2.471,-82.947,195.312,369.995
-0.722,-0.851,2.268,-117.615,243.286,364.624
-0.841,-0.824,2.052,-141.602,283.569,352.539
-0.954,-0.707,1.795,-160.828,311.768,331.848
-1.042,-0.544,1.484,-177.185,318.115,301.758
-1.093,-0.396,1.229,-194.397,310.303,266.174
-1.060,-0.231,1.036,-216.858,292.175,228.577
-0.950,-0.026,0.876,-248.535,261.108,187.256
-0.849,0.181,0.734,-288.696,224.365,144.592
-0.767,0.302,0.617,-338.074,188.416,103.088
-0.748,0.352,0.532,-394.043,149.536,59.204
-0.762,0.350,0.450,-446.228,101.563,11.230
-0.731,0.262,0.441,-483.582,51.453,-40.283
-0.707,0.200,0.395,-502.869,6.836,-92.712
-0.655,0.115,0.334,-501.648,-30.334,-140.991
-0.628,0.038,0.233,-487.305,-55.298,-184.021
-0.649,-0.100,0.111,-464.111,-73.792,-218.933
-0.643,-0.144,-0.037,-434.509,-98.511,-247.131
-0.593,-0.184,-0.102,-398.621,-132.202,-268.555
-0.576,-0.238,-0.104,-363.037,-169.617,-281.921
-0.580,-0.286,-0.074,-330.627,-204.834,-287.231
-0.607,-0.365,-0.029,-296.387,-234.497,-286.865
-0.636,-0.448,0.006,-260.071,-254.517,-283.325
-0.696,-0.539,0.050,-220.093,-268.494,-279.175
