aX,aY,aZ,gX,gY,gZ
0.494,-0.160,0.526,-64.819,-467.957,128.662
0.510,-0.322,0.082,-31.433,-500.427,125.549
0.518,-0.481,-0.337,-6.104,-522.278,117.615
0.493,-0.587,-0.795,0.427,-530.212,106.018
0.405,-0.664,-1.145,-10.803,-523.743,94.788
0.305,-0.711,-1.352,-39.063,-492.920,83.923
0.238,-0.609,-1.648,-87.402,-436.279,71.899
0.134,-0.422,-1.875,-140.320,-367.432,61.340
0.057,-0.154,-1.902,-164.429,-290.283,50.903
0.015,0.075,-1.802,-138.977,-221.558,38.513
-0.021,0.186,-1.489,-79.956,-171.448,29.602
-0.017,0.202,-1.153,-19.714,-141.846,31.128
-0.158,0.175,-0.855,18.494,-129.883,43.213
-0.426,0.098,-0.656,35.889,-124.756,58.594
-0.689,0.001,-0.531,34.363,-112.671,71.472
-0.925,-0.086,-0.496,20.752,-91.064,75.684
-1.132,-0.109,-0.418,8.057,-68.909,68.970
-1.268,-0.130,-0.209,4.700,-54.749,53.772
-1.281,-0.139,-0.059,6.775,-53.284,36.316
-1.259,-0.104,-0.017,1.038,-63.599,24.170
-1.219,-0.013,-0.100,-13.000,-76.904,20.386
-1.186,0.080,-0.308,-21.790,-91.370,22.278
-1.121,0.133,-0.561,-19.958,-104.797,25.513
-1.068,0.129,-0.748,-7.751,-115.234,26.978
-0.959,0.059,-0.867,7.202,-118.591,26.123
